conversation_id_str;created_at;full_text;category;jenis_program
1,75509E+18;Tue May 14 03:47:47 +0000 2024;@03__nakula Program-program yang sangat relevan untuk mewujudkan harapan warga Nahdliyyin dalam membangun keluarga sakinah harmonis dan ekonomis. #KeluargaAdilDanSeimbang;1.0;Program Keluarga Harapan (PKH)
1,75433E+18;Tue May 14 03:36:12 +0000 2024;#PosIND melakukan penyaluran bantuan sosial sembako (Bansos) program keluarga harapan (PKH) kepada ribuan keluarga menerima manfaat (KPM) di Semarang Jawa Tengah @PosIndonesia #PosIND #PosIndonesia https://t.co/XSatqvJQa9;1.0;Program Keluarga Harapan (PKH)
1,78231E+18;Tue May 14 03:33:12 +0000 2024;Ketiga ini adalah bansos tunai yang tidak rutin. Soalnya selain ini ada bansos rutin seperti bantuan langsung tunai dana desa hingga program keluarga harapan. Sehingga dengan sifatnya rutin kami nilai bukan kejadian luar biasa yang bisa mempengaruhi daya beli masyarakat.;1.0;Program Keluarga Harapan (PKH)
1,75219E+18;Tue May 14 03:31:36 +0000 2024;Inisiatif Ganjar - Mahfud dengan program 1 keluarga miskin 1 sarjana memberikan harapan baru bagi anak-anak Papua menggugah semangat untuk menuntut ilmu. @pondasilur #GanjarMahfud2024 #GanjarPresidenRakyat #KratonBersamaRakyat https://t.co/r7Bh90uAwh;1.0;Program Keluarga Harapan (PKH)
1,79028E+18;Tue May 14 03:14:24 +0000 2024;Ganjar - Mahfud memberikan harapan bahwa setiap keluarga miskin dapat mengubah nasibnya melalui program 1 Keluarga Miskin 1 Sarjana . Kesejahteraan berlipat ganda Indonesia Makmur Sentosa @syifaa_kuy #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/PXA0695hGF;1.0;Program Keluarga Harapan (PKH)
1,7559E+18;Tue May 14 02:49:31 +0000 2024;Rakyat Papua bersorak dengan semangat mendukung Ganjar - Mahfud yang membawa harapan melalui program 1 keluarga miskin 1 sarjana! @rifkygn69 #GanjarMahfud2024 #GanjarPresidenRakyat #KratonBersamaRakyat https://t.co/YVV1amT4lt;1.0;Program Keluarga Harapan (PKH)
1,75257E+18;Tue May 14 02:38:42 +0000 2024;Mas Ganjar berhasil membangun kepercayaan rakyat dengan program pendidikan sarjana yang memberi harapan baru bagi keluarga miskin. Ganjar Pranowo - Hanya dia yang betul merakyat dan akan berbuat lebih demi rakyat @fflutterbyy_ #GanjarMahfud2024 #GanjarPresidenRakyat #Coblos3 https://t.co/2kKz6Tel9E;1.0;Program Keluarga Harapan (PKH)
1,75231E+18;Tue May 14 02:30:23 +0000 2024;Prof. Mahfud dan Pak Ganjar membawa harapan bagi setiap keluarga miskin di Papua dengan meluncurkan program 1 Keluarga Miskin 1 Sarjana. @saharluna_s #GanjarMahfud2024 #GanjarPresidenRakyat #KratonBersamaRakyat https://t.co/nEkCuqv22R;1.0;Program Keluarga Harapan (PKH)
1,75221E+18;Tue May 14 02:28:53 +0000 2024;Program sekolah gratis yang dicanangkan Ganjar-Mahfud menjadi harapan baru bagi keluarga miskin. Ganjar Pranowo karena kamu berhak mendapatkan yang terbaik @Senjaugurau #GanjarMahfud2024 #GanjarPresidenRakyat #KratonBersamaRakyat https://t.co/eBLfTGuQBh;1.0;Program Keluarga Harapan (PKH)
1,78996E+18;Tue May 14 02:26:12 +0000 2024;Program Bantuan Sosial tersebut masih berjalan di mana mencakup Bansos Sembako dan Program Keluarga Harapan ( PKH ) Yang dilaksanakan oleh #PosIND #PosIndonesia @PosIndonesia https://t.co/VqL2A8bvgl;1.0;Program Keluarga Harapan (PKH)
